QR code,ent,name,FPhilm,Trial,test,plot,geometry,FP2,Ht,Pod,Mat,Lod,Yld,oil ,protein,notes,rep,loc,locc,rng,row,run,field,Sds/env,,source,,,parents,trait,0,2.5.7,geno,"1,2,3",Reg tests,Variety,
2441BBLV905,20,LD22-10772,PLtbl,2441B,2441BBLV,905,"POLYGON ((6 22, 7 22, 7 23, 6 23, 6 22))",,,,-9,1,46.5,23.9,29.5,,1,Belleville,BLV,,,,,800,,2359A-43,,,20506078GDM x LD11-2170,0,,,SSSS,SS,,,20
2441BBLV906,23,LD22-10880,PLtbl,2441B,2441BBLV,906,"POLYGON ((2 23, 3 23, 3 24, 2 24, 2 23))",,,,-9,1,44.6,22.3,32.1,,1,Belleville,BLV,,,,,800,,2359A-59,,,20506078GDM x LD15-5776793,Rhg1 88788,,,RSSS,SS,24 SP 4,,23
2441BBLV907,30,LD22-3014005,PLtbl,2441B,2441BBLV,907,"POLYGON ((3 23, 4 23, 4 24, 3 24, 3 23))",,,,-9,1,44.4,23.1,30.9,,1,Belleville,BLV,,,,,800,,23HOLL3B-25,,,LD17-12352  x  K17-6388,"HOLL, Rhg1 88788",,,RSSS,SS,,,30
2441BBLV908,22,LD22-10866,PLtbl,2441B,2441BBLV,908,"POLYGON ((4 23, 5 23, 5 24, 4 24, 4 23))",,,,-9,1,45.1,22.6,30.7,,1,Belleville,BLV,,,,,800,,2359A-57,,,20506078GDM x LD15-5776793,Rhg1 88788,,,RSSS,SS,,,22
2441BBLV909,1,LD15-3818,PLtbl,2441B,2441BBLV,909,"POLYGON ((5 23, 6 23, 6 24, 5 24, 5 23))",,,,-9,1.5,43,21.4,31.9,,1,Belleville,BLV,,,,,800,,2341B-1,23 INC,,LD09-3913 x BN09002129,SCN HR,26,46,,SS,"24 SU, UT IV",Illini 4218N,1
2441BBLV910,26,LD22-11297,WLtbl,2441B,2441BBLV,910,"POLYGON ((6 23, 7 23, 7 24, 6 24, 6 23))",,,,-9,1,31.4,22.3,32.8,,1,Belleville,BLV,,,,,800,,2384B-36,,,LDX20-382-1-4,"HOLL, Rhg1 88788",,,RSSS,SS,,,26
2441BBLV911,8,LD21-2459,PLtbl,2441B,2441BBLV,911,"POLYGON ((7 22, 8 22, 8 23, 7 23, 7 22))",,,,-9,1,33.7,23.1,29.9,,1,Belleville,BLV,,,,,800,,2341B-9,,,U14-211226 x SA13-1310,Rhg1 88788,,,RSSS,SS,24 PT 4,,8
2441BBLV912,19,LD22-10268,PLtbl/br,2441B,2441BBLV,912,"POLYGON ((8 22, 9 22, 9 23, 8 23, 8 22))",,,,-9,1.5,43.7,23.2,31.4,,1,Belleville,BLV,,,,,800,,2359A-20,,,U14-910097 x 20506064GDM,Het Rhg1a+Rhg4 437654,,,HRSS,SS,,,19
2441BBLV913,28,LD22-3014002,PLtbl,2441B,2441BBLV,913,"POLYGON ((9 22, 10 22, 10 23, 9 23, 9 22))",,,,-9,1.5,48.2,21.7,32.7,,1,Belleville,BLV,,,,,800,,23HOLL3B-22,,,LD17-12352  x  K17-6388,"HOLL, Rhg1 88788",,,RSSS,SS,,,28
2441BBLV914,14,LD21-9676,WMbl,2441B,2441BBLV,914,"POLYGON ((10 22, 11 22, 11 23, 10 23, 10 22))",,,,-9,1,51.8,21.5,34,,1,Belleville,BLV,,,,,800,,2341B-18,,,LDX17-345-1-5(SA13-1310 x LDX16-206-1-4) x U14-910097 (X) LD16-10150(LD10-10198 x KB13-15F314-224) x LD11-2170,"HOLL, Rhg1 88788",,,RSSS,SS,24 MSMC,,14
2441BBLV915,17,LD22-6392,PLtbl,2441B,2441BBLV,915,"POLYGON ((11 22, 12 22, 12 23, 11 23, 11 22))",,,,-9,1,54.3,22,31.3,,1,Belleville,BLV,,,,,800,,23GS10-18,,,20506067GDM x LD15-5782791,Rhg1 88788,,,RSSS,SS,,,17
2441BBLV916,16,LD22-5660,WLtbl,2441B,2441BBLV,916,"POLYGON ((7 23, 8 23, 8 24, 7 24, 7 23))",,,,-9,1,24.3,21.8,32.3,,1,Belleville,BLV,,,,,800,,2358B-24,,,LD15-456 x 20506067GDM,Rhg1 88788,,,RSSS,SS,24 SP 4,,16
2441BBLV917,13,LD21-9625,PTbl,2441B,2441BBLV,917,"POLYGON ((8 23, 9 23, 9 24, 8 24, 8 23))",,,,-9,1.5,47.5,23,30.5,,1,Belleville,BLV,,,,,800,,2341B-17,,,LDX17-345-1-5(SA13-1310 x LDX16-206-1-4) x U14-910097 (X) LD16-10150(LD10-10198 x KB13-15F314-224) x LD11-2170,"HOLL, Rhg1 88788",,,RSSS,SS,24 MSMC,,13
2441BBLV918,15,LD22-2372,PLtbr,2441B,2441BBLV,918,"POLYGON ((9 23, 10 23, 10 24, 9 24, 9 23))",,,,-9,1,44,23.3,31.1,,1,Belleville,BLV,,,,,800,,2358B-5,,,20506078GDM x LD11-2170,0,,,SSSS,SS,,,15
2441BBLV919,29,LD22-3014003,PLtbl,2441B,2441BBLV,919,"POLYGON ((10 23, 11 23, 11 24, 10 24, 10 23))",,,,-9,1,45.4,21.2,32.8,,1,Belleville,BLV,,,,,800,,23HOLL3B-23,,,LD17-12352  x  K17-6388,"HOLL, Rhg1 88788",,,RSSS,SS,,,29
